                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5536,                0.98269,                 1.2325,                0.96596,                0.89955,                0.96902,                0.53565,                 1.4998,                0.82417,                 1.2696,             0.00066445,             0.00066445,             0.00066445
                      2,                 1.3114,                0.75956,                  1.114,                0.96721,                0.94202,                0.98011,                0.57101,                  1.368,                0.69441,                 1.1979,              0.0012872,              0.0012872,              0.0012872
                      3,                 1.2067,                0.68123,                 1.0706,                0.97649,                0.97028,                0.99148,                0.68884,                 1.1031,                0.53962,                 1.0468,              0.0018659,              0.0018659,              0.0018659
                      4,                 1.1301,                0.60003,                 1.0342,                0.99095,                0.98669,                0.99388,                0.74368,                0.94034,                0.45289,                0.97709,               0.001802,               0.001802,               0.001802
                      5,                 1.0211,                0.52905,                0.98542,                0.99495,                 0.9909,                0.99438,                0.77768,                0.82714,                0.41125,                0.93189,               0.001736,               0.001736,               0.001736
                      6,                0.94196,                0.48247,                0.96154,                0.99616,                0.99272,                0.99435,                 0.8018,                0.77159,                0.38016,                0.90967,                0.00167,                0.00167,                0.00167
                      7,                0.86853,                0.44594,                0.93722,                 0.9937,                0.99299,                0.99437,                0.82182,                0.70685,                0.35811,                0.88817,               0.001604,               0.001604,               0.001604
                      8,                0.81589,                0.42118,                0.91711,                0.99702,                0.99315,                0.99439,                0.85463,                0.65329,                0.32702,                0.86659,               0.001538,               0.001538,               0.001538
                      9,                 0.7533,                0.39322,                0.89951,                0.99525,                0.99344,                 0.9942,                0.86437,                0.59917,                0.32169,                0.85293,               0.001472,               0.001472,               0.001472
                     10,                0.70455,                0.37543,                0.88416,                0.99701,                0.99441,                0.99474,                0.87546,                0.57555,                0.29512,                 0.8417,               0.001406,               0.001406,               0.001406
                     11,                0.68448,                0.36298,                0.87762,                0.99695,                0.99492,                 0.9947,                0.88379,                0.56209,                0.29064,                0.84173,                0.00134,                0.00134,                0.00134
                     12,                0.64375,                 0.3467,                0.86654,                0.99823,                0.99526,                0.99455,                0.89604,                0.51416,                0.27147,                0.82811,               0.001274,               0.001274,               0.001274
                     13,                0.60558,                 0.3296,                0.85728,                0.99759,                0.99473,                0.99454,                 0.9052,                0.48244,                0.26922,                0.81953,               0.001208,               0.001208,               0.001208
                     14,                0.58007,                0.32248,                0.85123,                0.99805,                0.99504,                0.99476,                0.91372,                0.45138,                 0.2569,                0.81136,               0.001142,               0.001142,               0.001142
                     15,                0.56891,                0.31181,                0.84566,                0.99799,                0.99554,                0.99476,                0.91835,                0.43501,                0.24289,                 0.8069,               0.001076,               0.001076,               0.001076
                     16,                0.53148,                0.29767,                0.83787,                0.99837,                0.99641,                0.99466,                0.92161,                0.43531,                0.23596,                0.80459,                0.00101,                0.00101,                0.00101
                     17,                0.51927,                0.29101,                0.83532,                0.99837,                 0.9966,                0.99485,                0.93048,                0.41062,                0.23045,                  0.801,               0.000944,               0.000944,               0.000944
                     18,                0.49418,                0.28361,                0.83166,                 0.9983,                0.99536,                0.99479,                0.94056,                0.37988,                0.22335,                 0.7947,               0.000878,               0.000878,               0.000878
                     19,                0.48435,                0.27626,                0.82801,                0.99796,                0.99731,                0.99477,                 0.9403,                0.37024,                0.21319,                0.79326,               0.000812,               0.000812,               0.000812
                     20,                0.46263,                0.26795,                0.82334,                0.99828,                0.99731,                0.99476,                0.95161,                0.35538,                0.20951,                0.79088,               0.000746,               0.000746,               0.000746
                     21,                0.43968,                0.24962,                0.81813,                0.99776,                0.99681,                 0.9947,                0.94605,                 0.3686,                0.21553,                0.79203,                0.00068,                0.00068,                0.00068
                     22,                0.42012,                0.24005,                0.81518,                0.99737,                0.99724,                0.99472,                0.95455,                 0.3481,                 0.2012,                0.78982,               0.000614,               0.000614,               0.000614
                     23,                0.40931,                0.23323,                0.81102,                0.99852,                0.99667,                0.99474,                0.95774,                0.33641,                0.19811,                0.78623,               0.000548,               0.000548,               0.000548
                     24,                0.37868,                0.22286,                0.80501,                0.99823,                0.99648,                 0.9946,                0.96072,                0.33061,                0.19412,                0.78505,               0.000482,               0.000482,               0.000482
                     25,                0.36178,                0.21473,                0.80121,                0.99848,                 0.9971,                0.99485,                0.96692,                0.30886,                0.18779,                0.78209,               0.000416,               0.000416,               0.000416
                     26,                0.35199,                0.21105,                0.80073,                 0.9983,                0.99743,                0.99487,                0.96839,                0.30256,                0.17942,                0.78061,                0.00035,                0.00035,                0.00035
                     27,                 0.3329,                0.20095,                0.79664,                0.99837,                0.99773,                0.99485,                 0.9725,                0.29016,                0.17581,                  0.779,               0.000284,               0.000284,               0.000284
                     28,                0.31366,                0.19395,                0.79304,                0.99866,                0.99752,                0.99493,                0.97356,                0.28412,                0.17191,                0.77802,               0.000218,               0.000218,               0.000218
                     29,                0.30123,                0.18831,                0.79156,                0.99837,                0.99773,                0.99494,                0.97697,                 0.2673,                0.16456,                0.77581,               0.000152,               0.000152,               0.000152
                     30,                0.28751,                0.18366,                0.79122,                0.99922,                0.99715,                0.99491,                0.97853,                0.26144,                0.16272,                0.77533,                8.6e-05,                8.6e-05,                8.6e-05
