                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0349,                 0.6629,                 1.0092,                0.96188,                0.97376,                0.98241,                0.83815,                0.61637,                 15.478,                0.87349,             0.00055516,             0.00055516,             0.00055516
                      2,                0.64488,                0.40591,                0.86398,                0.97192,                0.97358,                0.98877,                0.90269,                0.43629,                 13.923,                0.80796,              0.0010742,              0.0010742,              0.0010742
                      3,                0.52711,                0.35023,                0.83239,                0.97974,                0.97403,                0.99247,                0.94645,                0.31836,                0.40157,                0.77955,              0.0015565,              0.0015565,              0.0015565
                      4,                0.45605,                0.31947,                0.81536,                0.96943,                0.97282,                0.99106,                 0.9607,                0.26579,                0.42318,                0.76731,               0.001502,               0.001502,               0.001502
                      5,                0.41403,                0.29714,                0.81572,                0.98813,                0.98872,                0.99314,                0.96639,                0.25472,                 1.3309,                0.76421,               0.001447,               0.001447,               0.001447
                      6,                0.38513,                0.28324,                0.80647,                0.98574,                0.98036,                0.99361,                0.96434,                0.26139,                0.89682,                0.76377,              0.0013919,              0.0013919,              0.0013919
                      7,                0.36018,                0.25802,                  0.801,                0.99269,                0.99305,                0.99425,                0.97797,                0.21669,                  0.241,                0.75664,              0.0013369,              0.0013369,              0.0013369
                      8,                0.34853,                0.25236,                 0.7985,                0.99598,                0.99606,                0.99432,                0.97713,                0.21941,                0.88319,                0.75491,              0.0012819,              0.0012819,              0.0012819
                      9,                0.33515,                0.24754,                0.79707,                0.99473,                0.99458,                0.99431,                0.98102,                0.21026,                0.37033,                0.75436,              0.0012269,              0.0012269,              0.0012269
                     10,                0.32512,                0.23225,                0.79392,                0.99476,                0.99522,                0.99432,                0.98378,                0.19045,                0.17122,                0.75204,              0.0011719,              0.0011719,              0.0011719
                     11,                0.30819,                0.21897,                0.79176,                0.99688,                0.99493,                0.99449,                0.98294,                0.19178,                0.31383,                0.75151,              0.0011169,              0.0011169,              0.0011169
                     12,                0.29019,                0.20296,                0.78878,                0.99824,                0.99821,                0.99439,                0.98645,                0.17448,                0.32921,                0.74944,              0.0010619,              0.0010619,              0.0010619
                     13,                0.28312,                0.20189,                0.78835,                0.99759,                0.99729,                0.99438,                0.98819,                0.16734,                0.13842,                0.74924,              0.0010069,              0.0010069,              0.0010069
                     14,                0.27359,                0.19278,                0.78718,                0.99831,                0.99812,                0.99448,                0.98928,                0.15464,                  0.133,                0.74707,             0.00095186,             0.00095186,             0.00095186
                     15,                0.26059,                0.18638,                0.78546,                0.99733,                0.99654,                0.99444,                0.98988,                0.15164,                0.17073,                 0.7462,             0.00089685,             0.00089685,             0.00089685
                     16,                 0.2527,                0.17987,                0.78403,                0.99848,                0.99854,                0.99449,                0.99148,                0.13872,                0.16472,                0.74557,             0.00084184,             0.00084184,             0.00084184
                     17,                0.24682,                0.17687,                0.78386,                0.99814,                0.99829,                0.99444,                0.99184,                0.13539,                0.12074,                0.74483,             0.00078682,             0.00078682,             0.00078682
                     18,                0.24146,                0.17406,                0.78274,                0.99842,                0.99868,                0.99452,                0.99064,                0.14547,                0.12261,                0.74555,             0.00073181,             0.00073181,             0.00073181
                     19,                0.23789,                0.17154,                0.78241,                0.99841,                0.99836,                0.99445,                0.99226,                0.13252,                0.19141,                0.74457,              0.0006768,              0.0006768,              0.0006768
                     20,                0.22782,                0.16421,                 0.7816,                0.99848,                0.99861,                0.99459,                0.99261,                0.12461,                 0.1391,                0.74435,             0.00062179,             0.00062179,             0.00062179
                     21,                0.19616,                0.14478,                0.77086,                0.99861,                0.99846,                0.99461,                0.99262,                0.12585,                 1.0893,                0.74443,             0.00056678,             0.00056678,             0.00056678
                     22,                0.18353,                0.13505,                0.76886,                0.99844,                0.99837,                0.99465,                0.99339,                0.11631,                0.11026,                0.74338,             0.00051177,             0.00051177,             0.00051177
                     23,                0.17991,                0.13249,                0.76848,                0.99779,                0.99787,                0.99467,                0.99374,                0.11263,                0.10879,                0.74291,             0.00045676,             0.00045676,             0.00045676
                     24,                0.16828,                 0.1257,                0.76725,                0.99849,                0.99849,                0.99472,                0.99395,                0.10368,                0.10815,                0.74173,             0.00040175,             0.00040175,             0.00040175
                     25,                0.16019,                0.12132,                0.76618,                0.99871,                 0.9986,                0.99469,                0.99426,                0.10089,                0.09697,                0.74207,             0.00034674,             0.00034674,             0.00034674
                     26,                0.15444,                0.11631,                0.76562,                0.99862,                 0.9986,                0.99465,                0.99426,                0.09613,                0.09919,                0.74105,             0.00029172,             0.00029172,             0.00029172
                     27,                0.14923,                0.11342,                0.76449,                0.99795,                0.99796,                0.99463,                 0.9943,                 0.0935,                0.09829,                0.74059,             0.00023671,             0.00023671,             0.00023671
                     28,                0.14325,                 0.1097,                 0.7651,                0.99831,                0.99825,                0.99474,                0.99453,                0.08808,                0.14266,                 0.7407,              0.0001817,              0.0001817,              0.0001817
                     29,                0.13723,                0.10581,                0.76345,                0.99837,                0.99844,                0.99473,                0.99453,                0.08588,                0.08909,                0.74031,             0.00012669,             0.00012669,             0.00012669
                     30,                0.13137,                0.10188,                0.76355,                0.99857,                 0.9984,                0.99476,                0.99456,                0.08333,                0.08722,                0.74057,             7.1681e-05,             7.1681e-05,             7.1681e-05
