                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78142,                0.65599,                 1.0705,                 0.8873,                0.70501,                0.80372,                0.57757,                 1.0639,                0.90533,                 1.4175,             0.00066082,             0.00066082,             0.00066082
                      2,                0.87718,                0.77457,                 1.1174,                0.81686,                  0.718,                0.79689,                0.56984,                 1.1296,                 1.0144,                 1.4514,              0.0012837,              0.0012837,              0.0012837
                      3,                0.92859,                0.83145,                 1.1487,                 0.8101,                0.69573,                0.76778,                0.54287,                 1.1533,                 1.2048,                 1.4662,              0.0018625,              0.0018625,              0.0018625
                      4,                0.94402,                0.85238,                 1.1787,                 0.8277,                 0.6506,                0.75393,                0.51764,                 1.2646,                 1.1446,                 1.5298,               0.001802,               0.001802,               0.001802
                      5,                0.90811,                0.82275,                 1.1432,                0.85594,                0.68343,                0.79507,                0.56882,                 1.0773,                0.95223,                 1.4122,               0.001736,               0.001736,               0.001736
                      6,                0.92163,                0.83155,                 1.1534,                0.81829,                0.69388,                0.76242,                 0.5474,                 1.1616,                 1.1212,                 1.5073,                0.00167,                0.00167,                0.00167
                      7,                0.92741,                0.81778,                 1.1452,                0.87244,                0.67252,                0.78607,                 0.5559,                   1.12,                 1.0109,                 1.4626,               0.001604,               0.001604,               0.001604
                      8,                0.88336,                0.77629,                 1.1213,                0.87457,                0.72442,                0.82431,                0.59745,                 1.0729,                 0.9283,                 1.3782,               0.001538,               0.001538,               0.001538
                      9,                0.87768,                0.75348,                 1.1178,                0.84949,                0.72542,                0.82654,                0.60497,                 1.1175,                 0.9391,                 1.4633,               0.001472,               0.001472,               0.001472
                     10,                0.83352,                0.73232,                 1.0981,                0.81834,                0.71039,                0.77987,                0.55963,                 1.1286,                0.96902,                 1.4371,               0.001406,               0.001406,               0.001406
                     11,                0.84976,                0.72782,                 1.1118,                0.83899,                0.72505,                0.80372,                0.60798,                 1.0193,                0.93508,                 1.3623,                0.00134,                0.00134,                0.00134
                     12,                0.82243,                0.68426,                 1.0834,                0.89436,                0.73826,                0.83555,                0.62053,                 1.0252,                0.85119,                 1.3612,               0.001274,               0.001274,               0.001274
                     13,                0.81116,                 0.6785,                 1.0873,                0.87475,                0.72561,                0.82884,                0.60599,                 1.0063,                0.85652,                 1.3445,               0.001208,               0.001208,               0.001208
                     14,                0.80106,                0.67137,                 1.0794,                 0.8575,                0.76067,                0.84082,                0.63957,                0.98756,                 0.8409,                  1.326,               0.001142,               0.001142,               0.001142
                     15,                0.78509,                0.63981,                 1.0753,                0.86413,                 0.7788,                 0.8498,                0.63849,                0.97337,                0.78559,                 1.3053,               0.001076,               0.001076,               0.001076
                     16,                0.76808,                0.62447,                 1.0593,                0.81878,                0.77955,                 0.8376,                 0.6282,                 1.0003,                0.85426,                 1.3416,                0.00101,                0.00101,                0.00101
                     17,                0.75529,                0.62457,                 1.0523,                0.84948,                0.76433,                0.84078,                0.63216,                0.97911,                 0.7968,                 1.3267,               0.000944,               0.000944,               0.000944
                     18,                0.74507,                0.60783,                  1.044,                0.89282,                0.73469,                0.83877,                0.62858,                0.96016,                0.80872,                 1.3064,               0.000878,               0.000878,               0.000878
                     19,                0.72304,                0.57647,                 1.0375,                0.86057,                0.74212,                0.83019,                0.62402,                0.96149,                0.86366,                 1.3051,               0.000812,               0.000812,               0.000812
                     20,                0.71013,                0.58869,                 1.0389,                0.84314,                0.76994,                0.85021,                0.65134,                0.94465,                0.76143,                 1.3053,               0.000746,               0.000746,               0.000746
                     21,                0.70975,                0.56843,                 1.0296,                0.84711,                0.76994,                0.84191,                0.63184,                0.96984,                0.88677,                 1.2862,                0.00068,                0.00068,                0.00068
                     22,                 0.6843,                  0.548,                 1.0175,                0.87057,                0.74876,                0.84094,                0.63408,                0.95075,                0.82302,                 1.2992,               0.000614,               0.000614,               0.000614
                     23,                0.67493,                0.52535,                 1.0117,                0.84844,                0.77922,                0.85866,                0.64977,                0.93869,                0.78055,                 1.2927,               0.000548,               0.000548,               0.000548
                     24,                0.66408,                0.49652,                0.99933,                0.85627,                0.75325,                 0.8534,                0.65337,                 0.9228,                 0.8066,                 1.2721,               0.000482,               0.000482,               0.000482
                     25,                 0.6502,                0.48873,                 0.9945,                 0.8909,                0.76994,                 0.8627,                0.67667,                0.90682,                 0.7684,                 1.2606,               0.000416,               0.000416,               0.000416
                     26,                0.61392,                0.46495,                0.97711,                0.84379,                0.77737,                0.85128,                0.66626,                0.90433,                0.78455,                 1.2593,                0.00035,                0.00035,                0.00035
                     27,                0.60683,                0.45369,                0.97832,                0.85984,                0.77737,                0.86168,                0.67586,                0.89649,                0.76462,                 1.2575,               0.000284,               0.000284,               0.000284
                     28,                0.58576,                0.43867,                0.96209,                0.87735,                0.78664,                0.86981,                0.67426,                0.88724,                0.73391,                 1.2525,               0.000218,               0.000218,               0.000218
                     29,                0.58374,                0.42635,                0.95852,                0.86761,                0.79221,                0.86484,                0.67608,                0.88876,                0.76766,                 1.2575,               0.000152,               0.000152,               0.000152
                     30,                0.57361,                0.41641,                0.96351,                0.85711,                0.79221,                0.86051,                0.67472,                0.87924,                0.75813,                  1.259,                8.6e-05,                8.6e-05,                8.6e-05
