                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1481,                 1.2286,                 1.3185,                0.82401,                0.70361,                0.78065,                0.54245,                 1.1643,                0.99221,                 1.4365,             0.00066082,             0.00066082,             0.00066082
                      2,                0.93478,                0.83175,                 1.1538,                0.88501,                0.69944,                0.81999,                0.60254,                 1.0643,                 1.0014,                 1.3204,              0.0013056,              0.0013056,              0.0013056
                      3,                0.89874,                0.78436,                  1.124,                 0.8542,                0.72829,                0.80161,                0.58215,                 1.0568,                0.99902,                 1.3716,              0.0019283,              0.0019283,              0.0019283
                      4,                0.88494,                0.76583,                 1.1338,                0.87709,                0.72816,                0.83582,                0.61275,                 1.0567,                0.88618,                 1.3925,               0.001901,               0.001901,               0.001901
                      5,                0.87539,                0.75126,                 1.1125,                 0.8028,                0.72542,                0.78966,                0.56681,                 1.0908,                0.99321,                  1.457,               0.001868,               0.001868,               0.001868
                      6,                0.85966,                0.72983,                 1.1093,                0.86452,                0.73401,                0.83202,                0.60645,                 1.0311,                0.90483,                 1.3643,               0.001835,               0.001835,               0.001835
                      7,                0.85487,                0.71127,                 1.0987,                0.87992,                0.74772,                0.84962,                 0.6214,                 1.0363,                0.88712,                 1.3493,               0.001802,               0.001802,               0.001802
                      8,                0.82695,                0.67965,                 1.0835,                0.82483,                0.72171,                0.80561,                0.60201,                 1.0038,                0.98291,                 1.3739,               0.001769,               0.001769,               0.001769
                      9,                0.83184,                0.66995,                  1.088,                0.88043,                0.76623,                0.85451,                0.63073,                0.98495,                0.80129,                 1.3535,               0.001736,               0.001736,               0.001736
                     10,                0.79622,                0.66288,                 1.0688,                0.88365,                0.73284,                0.83672,                0.60873,                 1.0164,                0.85713,                 1.3562,               0.001703,               0.001703,               0.001703
                     11,                0.80039,                0.67157,                 1.0831,                0.90093,                0.75919,                0.85715,                0.64495,                0.97342,                0.81177,                 1.3254,                0.00167,                0.00167,                0.00167
                     12,                0.78848,                0.63311,                 1.0592,                0.89815,                0.71987,                0.82984,                0.62993,                 1.0157,                0.84248,                  1.342,               0.001637,               0.001637,               0.001637
                     13,                0.76705,                0.60754,                 1.0578,                0.89452,                0.72378,                0.84275,                0.63917,                0.95553,                0.81875,                 1.2918,               0.001604,               0.001604,               0.001604
                     14,                0.77121,                0.61512,                 1.0578,                0.84528,                0.76019,                0.83702,                0.62624,                 1.0209,                0.84839,                 1.3701,               0.001571,               0.001571,               0.001571
                     15,                0.74929,                0.58376,                 1.0556,                0.88179,                0.74397,                0.84343,                0.62713,                0.98268,                0.80665,                 1.3341,               0.001538,               0.001538,               0.001538
                     16,                0.73577,                0.58813,                 1.0453,                0.90619,                0.77065,                0.85225,                0.64169,                0.92943,                 0.7476,                 1.2867,               0.001505,               0.001505,               0.001505
                     17,                 0.7436,                0.60277,                 1.0454,                0.89607,                0.71614,                0.83718,                0.63295,                0.96666,                0.79859,                 1.3202,               0.001472,               0.001472,               0.001472
                     18,                0.73176,                0.57459,                 1.0322,                0.88815,                0.75696,                0.84361,                0.63414,                0.92527,                 0.8079,                 1.2957,               0.001439,               0.001439,               0.001439
                     19,                0.71504,                0.56006,                 1.0264,                0.84847,                0.73655,                0.83063,                0.61321,                 0.9864,                0.89796,                 1.3074,               0.001406,               0.001406,               0.001406
                     20,                0.71396,                0.57059,                 1.0326,                0.86132,                 0.7144,                0.81526,                 0.6093,                0.98263,                0.82559,                 1.3468,               0.001373,               0.001373,               0.001373
                     21,                0.72181,                0.56016,                 1.0323,                0.85837,                 0.7551,                0.83682,                0.64136,                0.94355,                0.75107,                  1.285,                0.00134,                0.00134,                0.00134
                     22,                0.69068,                0.53492,                 1.0193,                 0.8268,                0.77939,                0.84164,                0.64181,                0.95731,                0.76569,                 1.3425,               0.001307,               0.001307,               0.001307
                     23,                0.69664,                0.54113,                 1.0285,                0.85022,                0.78664,                0.85255,                0.64107,                0.93436,                0.77889,                 1.3075,               0.001274,               0.001274,               0.001274
                     24,                0.71498,                0.54376,                 1.0234,                0.85822,                0.77487,                0.85131,                0.65734,                 0.8947,                0.77791,                 1.2873,               0.001241,               0.001241,               0.001241
