                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5992,                 1.5817,                 1.2767,                0.49899,                0.25452,                0.25452,                0.15121,                 1.2348,                 1.0134,                  1.168,             0.00027724,             0.00027724,             0.00027724
                      2,                 1.3622,                 1.0843,                 1.1273,                0.65362,                0.34741,                0.36331,                0.22238,                 1.1481,                0.88725,                  1.116,              0.0005366,              0.0005366,              0.0005366
                      3,                 1.2844,                0.98622,                 1.0885,                0.62177,                0.43491,                0.46279,                0.28217,                 1.1001,                0.82907,                 1.0967,             0.00077762,             0.00077762,             0.00077762
                      4,                 1.2386,                0.92358,                  1.073,                0.47544,                0.50727,                0.50978,                0.31757,                 1.0745,                 0.7787,                 1.0774,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.1954,                0.87158,                 1.0477,                0.75628,                0.46886,                0.56555,                0.35173,                 1.0569,                0.75026,                 1.0716,             0.00072304,             0.00072304,             0.00072304
                      6,                 1.1611,                0.83537,                 1.0386,                0.57564,                0.54236,                0.56638,                0.36039,                 1.0261,                 0.7264,                 1.0552,             0.00069556,             0.00069556,             0.00069556
                      7,                 1.1349,                0.80278,                 1.0252,                0.66414,                0.55365,                0.60726,                0.39516,                0.98961,                 0.6835,                   1.04,             0.00066807,             0.00066807,             0.00066807
                      8,                 1.1127,                0.77589,                  1.016,                0.72983,                0.53883,                0.62182,                0.40597,                0.99336,                0.67727,                 1.0408,             0.00064058,             0.00064058,             0.00064058
                      9,                 1.0918,                0.75274,                 1.0079,                0.67625,                0.57026,                0.62228,                0.40838,                0.98051,                0.65479,                 1.0362,             0.00061309,             0.00061309,             0.00061309
                     10,                 1.0749,                0.73311,                0.99888,                0.80695,                 0.5561,                0.65007,                0.42543,                0.97866,                0.64975,                 1.0309,              0.0005856,              0.0005856,              0.0005856
                     11,                 1.0581,                 0.7091,                0.99237,                 0.7316,                0.59547,                0.67041,                0.44424,                0.96454,                0.61855,                 1.0276,             0.00055811,             0.00055811,             0.00055811
                     12,                 1.0405,                0.69339,                0.98961,                 0.7863,                0.60775,                0.69111,                0.45777,                 0.9415,                0.61399,                 1.0211,             0.00053062,             0.00053062,             0.00053062
                     13,                 1.0249,                0.68068,                0.98172,                0.75633,                0.63125,                0.70454,                0.46773,                0.94128,                 0.6028,                 1.0193,             0.00050313,             0.00050313,             0.00050313
                     14,                 1.0141,                0.66515,                0.97436,                0.74725,                0.64413,                0.70711,                0.46919,                0.93469,                0.60467,                 1.0139,             0.00047564,             0.00047564,             0.00047564
                     15,                 1.0042,                 0.6517,                0.97117,                 0.8124,                0.62422,                0.71427,                0.48334,                0.92324,                0.58663,                 1.0114,             0.00044815,             0.00044815,             0.00044815
                     16,                0.98726,                0.63798,                0.96546,                0.76714,                0.63811,                0.70619,                0.48035,                0.92133,                0.58217,                 1.0077,             0.00042066,             0.00042066,             0.00042066
                     17,                0.97012,                0.62407,                 0.9604,                0.79975,                0.63923,                0.72699,                0.49422,                0.89633,                0.57419,                 1.0014,             0.00039318,             0.00039318,             0.00039318
                     18,                0.95914,                0.61313,                0.95633,                0.78304,                0.65417,                 0.7314,                0.50541,                 0.8941,                0.57069,                0.99988,             0.00036569,             0.00036569,             0.00036569
                     19,                0.94325,                0.60077,                0.94868,                0.81936,                0.65662,                0.75374,                0.51734,                0.89484,                0.55696,                0.99921,              0.0003382,              0.0003382,              0.0003382
                     20,                0.93397,                0.59019,                0.94596,                0.78777,                0.67855,                0.74582,                0.51524,                0.88432,                0.54783,                0.99608,             0.00031071,             0.00031071,             0.00031071
                     21,                0.92193,                0.58183,                0.94334,                0.81563,                0.65571,                0.75609,                0.52572,                0.87147,                0.54189,                0.99209,             0.00028322,             0.00028322,             0.00028322
                     22,                0.91168,                0.56759,                0.93651,                0.79485,                0.65866,                0.74464,                0.51778,                0.88614,                0.54952,                0.99381,             0.00025573,             0.00025573,             0.00025573
                     23,                0.90015,                0.55796,                0.93258,                0.80562,                0.68241,                0.75976,                0.52572,                0.87278,                0.53869,                0.98756,             0.00022824,             0.00022824,             0.00022824
                     24,                0.89274,                0.55255,                  0.931,                0.79866,                0.67311,                0.75717,                0.52816,                0.86654,                 0.5287,                0.98276,             0.00020075,             0.00020075,             0.00020075
                     25,                0.88144,                0.54111,                 0.9262,                0.83227,                0.68154,                 0.7714,                0.53574,                0.85522,                0.52541,                0.98244,             0.00017326,             0.00017326,             0.00017326
                     26,                0.87071,                0.53191,                0.92213,                0.78721,                0.70903,                0.77101,                0.54357,                0.86168,                0.52132,                 0.9814,             0.00014577,             0.00014577,             0.00014577
                     27,                0.86225,                0.52649,                0.91974,                0.82017,                0.70652,                0.78044,                0.54971,                0.85074,                0.51423,                 0.9777,             0.00011829,             0.00011829,             0.00011829
                     28,                0.85555,                0.52173,                0.91718,                0.82045,                0.71093,                0.77996,                 0.5509,                0.84902,                0.50854,                0.97712,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.84604,                0.51319,                 0.9143,                0.85975,                0.68861,                0.77928,                 0.5483,                0.85234,                0.51107,                0.98081,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.83787,                0.50924,                 0.9111,                0.81405,                0.71765,                0.78328,                0.55271,                0.85004,                0.51218,                0.97819,             3.5819e-05,             3.5819e-05,             3.5819e-05
